slug,name,logoPath,description,website,docs,x,github,discord,telegram,linkedin,supportEmail,starred,tag
0xcert,0xCert,0xcert.png,"JavaScript framework for building decentralized applications that create, manage, and transfer non-fungible tokens and fungible tokens across multiple blockchains using a conventions-based interoperability API.",,,,0xcert/framework,,,,,FALSE,
0xppl,0xPPL,0xppl.png,"Onchain portfolio tracker and social platform enabling users to monitor multichain positions, execute trades, and discover top onchain moves","https://0xppl.com/",,,,,,,,FALSE,
0xrpc,0xrpc,0xrpc.png,"Lightweight Ethereum RPC endpoint provider with load balancing and fallback infrastructure for developers","https://0xrpc.github.io/","https://0xrpc.github.io/",,,,,,,FALSE,
1inch,1inch,1inch.png,"Decentralized exchange aggregator and wallet offering multi-chain token swaps and limit orders with best-rate routing","https://1inch.com/",,1inch,1inch,,,,,FALSE,
1rpc,1rpc,1rpc.png,TEE-attested RPC relay providing privacy-preserving access to blockchain networks through Trusted Execution Environments,"https://www.1rpc.io","https://docs.1rpc.io/llm-relay/overview",,,,,,,FALSE,
2miners,2Miners,2miners.png,"Multi-coin cryptocurrency mining pool supporting GPU and ASIC miners with PPLNS and SOLO payout modes, Nicehash compatibility, automated rig monitoring via Telegram, and DDOS-protected servers in Europe, US, and Asia.","https://2miners.com/","https://apidoc.2miners.com/",,,,,,,FALSE,
3xpl,3xpl,3xpl.png,"Universal blockchain block explorer with consistent formatting across multiple blockchains, optimized for fast performance and comprehensive chain coverage.","https://3xpl.com/",,3xplcom,3xplcom,,,,,FALSE,
4everland,4everland,4everland.png,"Web3 cloud computing platform offering AI solutions, decentralized hosting, storage, gateway, RPC, and rollup-as-a-service (RaaS) infrastructure for dApps and blockchain developers.","https://www.4everland.org/","https://docs.4everland.org/get-started/billing-and-pricing/pricing-model",4everland_org,4everland,,,,,FALSE,
99faucet,99faucet,99faucet.png,Cryptocurrency faucet platform providing free token claims and rewards for Web3 users,"https://99faucet.com/",,,,,,,,FALSE,
aa-bundler,AA Bundler,aa-bundler.png,ERC-4337 account abstraction bundler implementation in Rust (Silius) that validates and bundles UserOperations from the alternative mempool into transactions submitted to the EntryPoint contract.,,,,Vid201/aa-bundler,,,,,FALSE,
aarc,Aarc,aarc.png,"Modular omnichain infrastructure for Web3 applications, providing tools for asset bridging and multi-chain deposits","https://www.aarc.xyz/","https://docs.aarc.xyz/introduction",,,,,,,FALSE,
abi-parser,ABI Parser,abi-parser.png,It interprets a smart contract's Application Binary Interface to enable human-readable interaction and seamless data exchange between off-chain applications and the blockchain,"https://abi-parser-nvk.vercel.app/",,,,,,,,FALSE,
account-smart-wallet,Account Smart Wallet,account-smart-wallet.png,With the Base Account SDK you can connect to over one hundred thousand users and unlock authentication and payments with just a few lines of code,"https://www.base.org/","https://docs.base.org/base-account/overview/what-is-base-account",,,,,,,FALSE,
across,Across,across.png,"Intents-based cross-chain bridge protocol using competitive relayers and optimistic verification to provide fast, low-cost token transfers across EVM networks.","https://across.to/","https://docs.across.to/",AcrossProtocol,across-protocol,,,,,FALSE,
acurast,Acurast,acurast.png,"Oracle and computation protocol enabling off-chain data verification and computation with on-chain settlement","https://acurast.com/","https://docs.acurast.com/",Acurast,Acurast,,,,,FALSE,
aibtc,Aibtc,aibtc.png,"Bitcoin-native MCP server platform for AI agents with BTC/STX wallets, DeFi yield, sBTC peg, NFTs, and x402 payments","https://github.com/aibtcdev/aibtc-mcp-server",,aibtcdev,aibtcdev/aibtc-mcp-server,,,,,FALSE,
airgap,AirGap,airgap.png,Air-gapped cold wallet solution enabling offline key management with QR code-based transaction signing,"https://airgap.it/","https://support.airgap.it/",AirGap_it,airgap-it,,,,,FALSE,
airtm,AirTM,airtm.png,"Digital dollar wallet and peer-to-peer payment network operating in 190+ countries, enabling users to send, receive, convert, and withdraw USDC-backed funds using 500+ local payment methods.","https://www.airtm.com/","https://help.airtm.com/",,,,,,,FALSE,
alchemy,Alchemy,alchemy.png,"Blockchain developer platform providing APIs, SDKs, and infrastructure for building and scaling decentralized applications, with products covering RPC nodes, embedded wallets, and onchain data.","https://www.alchemy.com","https://www.alchemy.com/docs",AlchemyPlatform,alchemyplatform,,,,,FALSE,
