slug,provider,actionButtons,planName,planType,historicalData,apiType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
thirdweb-astar-dedicated,!provider:thirdweb-dedicated-recent-state,,,,,,astar,,,,,,,,,,,,,,,,,,
thirdweb-shiden-dedicated,!provider:thirdweb-dedicated-recent-state,,,,,,shiden,,,,,,,,,,,,,,,,,,
thirdweb-astar-enterprise,!provider:thirdweb-enterprise-recent-state,,,,,,astar,,,,,,,,,,,,,,,,,,
thirdweb-shiden-enterprise,!provider:thirdweb-enterprise-recent-state,,,,,,shiden,,,,,,,,,,,,,,,,,,
alchemy-astar-free-indexer,!provider:Alchemy-free-indexer,"[""[Website](https://www.alchemy.com/astar)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
alchemy-astar-pay-as-you-go-indexer,!provider:Alchemy-pay-as-you-go-indexer,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
alchemy-astar-enterprise-indexer,!provider:Alchemy-enterprise-indexer,"[""[Contact](https://www.alchemy.com/contact-sales-platinum)"",""[Docs](https://www.alchemy.com/docs/reference/astar-api-faq#what-testnet-should-i-use-for-astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
chain-love-astar-free-indexer,!provider:Chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,astar,,,,,,,,,,,,,,,,,,
chain-love-shibuya-free-indexer,!provider:Chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,shibuya,,,,,,,,,,,,,,,,,,
chain-love-shiden-free-indexer,!provider:Chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,shiden,,,,,,,,,,,,,,,,,,
chainstack-astar-free-indexer,!provider:Chainstack-free-indexer,"[""[Website](https://chainstack.com/protocols/astar/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",,,,,astar,,,,,,,,,,,,,,,,,,
chainstack-astar-pay-as-you-go-indexer,!provider:Chainstack-pay-as-you-go-indexer,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",,,,,astar,,,,,,,,,,,,,,,,,,
chainstack-astar-enterprise-indexer,!provider:Chainstack-enterprise-indexer,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks#networks)""]",,,,,astar,,,,,,,,,,,,,,,,,,
dipdup-astar-free-indexer,!provider:Dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
dipdup-astar-enterprise-indexer,!provider:Dipdup-enterprise-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
dipdup-shibuya-free-indexer,!provider:Dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,shibuya,,,,,,,,,,,,,,,,,,
dipdup-shibuya-enterprise-indexer,!provider:Dipdup-enterprise-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,shibuya,,,,,,,,,,,,,,,,,,
envio-astar-free-indexer,!provider:Envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/astar-zkevm)""]",,,,,astar,,,,,,,,,,,,,,,,,,
envio-astar-pay-as-you-go-indexer,!provider:Envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/astar-zkyoto)""]",,,,,astar,,,,,,,,,,,,,,,,,,
envio-astar-dedicated-indexer,!provider:Envio-dedicated-indexer,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/astar-zkevm)""]",,,,,astar,,,,,,,,,,,,,,,,,,
goldrush-astar-free-indexer,!provider:Goldrush-free-indexer,"[""[Website](https://goldrush.dev/)"",""[Docs](https://goldrush.dev/docs/chains/astar#astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
goldrush-astar-pay-as-you-go-indexer,!provider:Goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/astar#astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
goldrush-astar-enterprise-indexer,!provider:Goldrush-enterprise-indexer,"[""[Contact](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/astar#astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
goldrush-shibuya-free-indexer,!provider:Goldrush-free-indexer,"[""[Website](https://goldrush.dev/)"",""[Docs](https://goldrush.dev/docs/chains/shibuya#shibuya-testnet)""]",,,,,shibuya,,,,,,,,,,,,,,,,,,
goldrush-shibuya-pay-as-you-go-indexer,!provider:Goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/shibuya#shibuya-testnet)""]",,,,,shibuya,,,,,,,,,,,,,,,,,,
goldrush-shibuya-enterprise-indexer,!provider:Goldrush-enterprise-indexer,"[""[Contact](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/shibuya#shibuya-testnet)""]",,,,,shibuya,,,,,,,,,,,,,,,,,,
goldsky-astar-free-indexer,!provider:Goldsky-free-indexer,"[""[Deploy](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/supported-networks)""]",,,,,astar,,,,,,,,,,,,,,,,,,
goldsky-astar-pay-as-you-go-indexer,!provider:Goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/supported-networks)""]",,,,,astar,,,,,,,,,,,,,,,,,,
goldsky-astar-enterprise-indexer,!provider:Goldsky-enterprise-indexer,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/supported-networks)""]",,,,,astar,,,,,,,,,,,,,,,,,,
indexing-co-astar-free-indexer,!provider:Indexing-co-free-indexer,"[""[Docs](https://docs.indexing.co/networks/astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
indexing-co-astar-pay-as-you-go-indexer,!provider:Indexing-co-pay-as-you-go-indexer,"[""[Docs](https://docs.indexing.co/networks/astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
indexing-co-astar-enterprise-indexer,!provider:Indexing-co-enterprise-indexer,"[""[Docs](https://docs.indexing.co/networks/astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
mobula-astar-free-indexer,!provider:Mobula-free-indexer,"[""[Website](https://mobula.io/)"",""[Docs](https://docs.mobula.io/blockchains/astar#astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
mobula-astar-pay-as-you-go-indexer,!provider:Mobula-pay-as-you-go-indexer,"[""[Buy](https://docs.mobula.io/pricing)"",""[Docs](https://docs.mobula.io/blockchains/astar#astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
mobula-astar-enterprise-indexer,!provider:Mobula-enterprise-indexer,"[""[Contact](https://t.me/mobuladevelopers?start=Enterprise)"",""[Docs](https://docs.mobula.io/blockchains/astar#astar)""]",,,,,astar,,,,,,,,,,,,,,,,,,
onfinality-astar-free-indexer,!provider:Onfinality-free-indexer,"[""[Website](https://onfinality.io/en/networks/astar)"",""[Docs](https://documentation.onfinality.io/support/)""]",,,,,astar,,,,,,,,,,,,,,,,,,
onfinality-astar-pay-as-you-go-indexer,!provider:Onfinality-pay-as-you-go-indexer,"[""[Buy](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",,,,,astar,,,,,,,,,,,,,,,,,,
onfinality-astar-enterprise-indexer,!provider:Onfinality-enterprise-indexer,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",,,,,astar,,,,,,,,,,,,,,,,,,
sqd-astar-free-indexer,!provider:Sqd-free-indexer,"[""[Deploy](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",,,,,astar,,,,,,,,,,,,,,,,,,
sqd-astar-pay-as-you-go-indexer,!provider:Sqd-pay-as-you-go-indexer,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",,,,,astar,,,,,,,,,,,,,,,,,,
subquery-astar-pay-as-you-go-indexer,!provider:Subquery-pay-as-you-go-indexer,"[""[Buy](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polkadot-astar.html#astar-wasm-quick-start)""]",,,,,astar,,,,,,,,,,,,,,,,,,
