slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across-mainnet,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,,
axelar-mainnet,,!offer:axelar,,mainnet,,,,,,,,,,,,,,,,,,
crosscurve-mainnet,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
debridge-mainnet,,!offer:debridge,,mainnet,,,,,,,,,,,,,,,,,,
garden-mainnet,,!offer:garden,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
interport-mainnet,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
mayan-mainnet,,!offer:mayan,,mainnet,,,,,,,,,,,,,,,,,,
meson-mainnet,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis-mainnet,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
synapse-mainnet,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,,
wormhole-mainnet,,!offer:wormhole,,mainnet,,,,,,,,,,,,,,,,,,
