slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,tag
chainlink-bridge-mainnet,,!offer:chainlink-bridge,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/cronos-mainnet)""]",mainnet,,,,,,,,,,,,,,,,,,
chainspot,,!offer:chainspot,,mainnet,,,,,,,,,,,,,,,,,,
crosscurve,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
hashport,,!offer:hashport,,mainnet,,,,,,,,,,,,,,,,,,
jumper,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
meson,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
stargate,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
synapse,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,,
