slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
1rpc-polygon-public-recent-state,!provider:1rpc-public-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-polygon-free-recent-state,!provider:1rpc-free-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-polygon-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-polygon-free,!provider:alchemy-free-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-mainnet)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-polygon-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-mainnet)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-polygon-enterprise,!provider:alchemy-enterprise-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-mainnet)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-amoy-free,!provider:alchemy-free-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-mainnet)""]",,,amoy,,,,,,,,,,,,,,,,
alchemy-amoy-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-mainnet)""]",,,amoy,,,,,,,,,,,,,,,,
alchemy-amoy-enterprise,!provider:alchemy-enterprise-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#polygon-mainnet)""]",,,amoy,,,,,,,,,,,,,,,,
allthatnode-polygon-free-archive,!provider:allthatnode-free-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,mainnet,,,,,,,,,,,,,,,,
