slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
across-mainnet,!provider:across,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
altitude-mainnet,!provider:altitude,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
arianee-mainnet,Arianee,"[""[Protocol](https://www.arianee.org)"",""[Docs](https://docs.arianee.org/)""]",mainnet,Tokenized Digital Product Passports,,,FALSE,"[""Discord"",""Email"",""Twitter""]",FALSE,"[""Tokenization API"",""Ownership Management""]","[""On-chain event tracking""]","[""Multi-EVM compatible"", ""dynamic NFTs"", ""product lifecycle tracking""]","[""ERC-721""]",Gas Fee,TRUE,"""Community governance ($ARIA20), Data integrity and ownership transparency""","[""Yes""]",Decentralized,"[""JavaScript SDK""]",[]
asterizm-mainnet,!provider:asterizm,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
axelar-mainnet,!provider:axelar,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
chainspot-mainnet,!provider:chainspot,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
connext-mainnet,!provider:connext,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
debridge-mainnet,!provider:debridge,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
ecoportal-mainnet,!provider:ecoportal,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
hashport-mainnet,!provider:hashport,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
hyperlane-mainnet,!provider:hyperlane,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
jumper-mainnet,!provider:jumper,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
layerzero-mainnet,!provider:layerzero,"[""[Docs](https://docs.layerzero.network/v2/deployments/evm-chains/polygon-mainnet-oft-quickstart)""]",mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
lifi-mainnet,!provider:lifi,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
mayan-mainnet,!provider:mayan,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
meson-mainnet,!provider:meson,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
messina-mainnet,!provider:messina,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
orbiter-mainnet,!provider:orbiter,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
pheasant-mainnet,!provider:pheasant,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
rango-mainnet,!provider:rango,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
routerprotocol-mainnet,!provider:routerprotocol,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
safeswap-mainnet,!provider:safeswap,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
squid-mainnet,!provider:squid,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
stargate-mainnet,!provider:stargate,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
utexo-mainnet,!provider:utexo,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
wanchain-mainnet,!provider:wanchain,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
wormhole-mainnet,!provider:wormhole,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
xyfinance-mainnet,!provider:xyfinance,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
zkbridge-mainnet,!provider:zkbridge,[],mainnet,,,,,,FALSE,[],[],[],,,,,,,[],[]
