slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,address
ankr-mainnet-enterprise,!provider:ankr-enterprise-recent-state,,,mainnet,,,,,,,,"[""All read methods + MPoolPush"",""Advanced Ankr API""]",,,,,,,,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=a58d6642-6a81-4b72-a3c8-f748831d3956)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#filecoin)""]",
ankr-mainnet-free,!provider:ankr-free-recent-state,,,mainnet,,,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Website](https://www.ankr.com/web3-api/chains-list/filecoin/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#filecoin)""]",
ankr-mainnet-pay-as-you-go,!provider:ankr-pay-as-you-go-recent-state,,,mainnet,,,,,,,,"[""All read methods + MPoolPush"",""Advanced Ankr API""]",,,,,,,,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#filecoin)""]",
chain-love-calibnet-free,!provider:chain-love-free,,Recent-State,calibnet,,,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Send requests](https://calibration.filecoin.chain.love/rpc/v0)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-calibnet-pay-as-you-go,!provider:chain-love-pay-as-you-go,,Recent-State,calibnet,$0,$0.5/1M CUs,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-dedicated-fevm-archive-mainnet,!provider:chain-love-dedicated,,FEVM Archive,mainnet,$3.5K,,,,,,,"[""All methods""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-dedicated-full-archive-calibnet,!provider:chain-love-dedicated ,,,calibnet,$800,,,,,,,"[""All methods""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-dedicated-full-archive-mainnet,!provider:chain-love-dedicated,,,mainnet,$5K,,,,,,,"[""All methods""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-dedicated-recent-state-calibnet,!provider:chain-love-dedicated,,Recent-State,calibnet,$600,,,,,,,"[""All methods""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-dedicated-recent-state-mainnet,!provider:chain-love-dedicated,,Recent-State,mainnet,$1K,,,,,,,"[""All methods""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-fevm-archive-mainnet-pay-as-you-go,!provider:chain-love-pay-as-you-go,,FEVM Archive,mainnet,$300,$1.5/1M CUs,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-full-archive-mainnet-pay-as-you-go,!provider:chain-love-pay-as-you-go,,,mainnet,$500,$3/1M CUs,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-mainnet-free,!provider:chain-love-free,,Recent-State,mainnet,,,,,,,,,,,,,,,,"[""[Send requests](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chain-love-mainnet-pay-as-you-go,!provider:chain-love-pay-as-you-go,,Recent-State,mainnet,$0,$1/1M CUs,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Buy](/rpc)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/filecoin)""]",
chainup-cloud-calibnet-free,Chainup Cloud,Free,Recent-State,calibnet,$0,$0,null,null,null,FALSE,FALSE,"[""All read methods + MPoolPush""]",null,"[""Domain name protection""]",null,null,null,null,null,"[""[Send requests](http://filecoin-calibration.chainup.net/rpc/v1)"",""[Docs](https://docs.chainupcloud.com/blockchain-api/filecoin/public-apis)""]",
chainup-cloud-mainnet-free,Chainup Cloud,Free,Recent-State,calibnet,$0,$0,null,null,null,FALSE,FALSE,"[""All read methods + MPoolPush""]",null,"[""Domain name protection""]",null,null,null,null,null,"[""[Send requests](https://filecoin.chainup.net/rpc/v1)"",""[Docs](https://docs.chainupcloud.com/blockchain-api/filecoin/public-apis)""]",
drpc-calibnet-enterprise-recent-state,!provider:drpc-enterprise-recent-state,,,calibnet,,,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Contact](https://drpc.org/pricing)"",""[Website](https://drpc.org/chainlist/filecoin-mainnet-rpc)"",""[Docs](https://drpc.org/docs)""]",
drpc-calibnet-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,,,calibnet,,,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Buy](https://drpc.org/pricing)"",""[Website](https://drpc.org/chainlist/filecoin-mainnet-rpc)"",""[Docs](https://drpc.org/docs)""]",
drpc-mainnet-enterprise-recent-state,!provider:drpc-enterprise-recent-state,,,mainnet,,,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Contact](https://drpc.org/pricing)"",""[Website](https://drpc.org/chainlist/filecoin#filecoin)"",""[Docs](https://drpc.org/docs)""]",
drpc-mainnet-pay-as-you-go-recent-state,!provider:drpc-pay-as-you-go-recent-state,,,mainnet,,,,,,,,"[""All read methods + MPoolPush""]",,,,,,,,"[""[Buy](https://drpc.org/pricing)"",""[Website](https://drpc.org/chainlist/filecoin-mainnet-rpc)"",""[Docs](https://drpc.org/docs)""]",
lava-network-calibnet-free,Lava Network,Free,Recent-State,calibnet,$0,$0,null,null,null,FALSE,FALSE,"[""All read methods + MPoolPush""]",null,"[""Domain name protection""]",null,null,null,null,null,"[""[Register](https://accounts.lavanet.xyz/register)"",""[Docs](https://docs.lavanet.xyz/about)""]",
lava-network-mainnet-free,Lava Network,Free,Recent-State,mainnet,$0,$0,null,null,null,FALSE,FALSE,"[""All read methods + MPoolPush""]",null,"[""Domain name protection""]",null,null,null,null,null,"[""[Send requests](https://filecoin.lava.build/)"",""[Docs](https://docs.lavanet.xyz/about)""]",
nownodes-mainnet-enterprise,!provider:nownodes-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://nownodes.io/pricing)"",""[Docs](https://nownodes.gitbook.io/fil-filecoin/)""]",
nownodes-mainnet-free,!provider:nownodes-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://nownodes.io/nodes/filecoin-fil)"",""[Docs](https://nownodes.gitbook.io/fil-filecoin/)""]",
nownodes-mainnet-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.gitbook.io/fil-filecoin/)""]",
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",
getblock-mainnet-free-full-archive,!provider:getblock-free-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",
