slug,provider,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,actionButtons
chainlink-linea,!provider:chainlink,mainnet,,,,,,,,,,,,"[""[Docs](https://docs.chain.link)""]"
chainlink-linea-sepolia,!provider:chainlink,sepolia,,,,,,,,,,,,"[""[Docs](https://docs.chain.link)""]"
api3-linea,!provider:api3,mainnet,,,,,,,,,,,,"[""[Docs](https://docs.api3.org)""]"
dia-linea,!provider:dia,mainnet,,,,,,,,,,,,"[""[Docs](https://docs.diadata.org)""]"
tellor-linea,Tellor,mainnet,Permissionless Oracle,FALSE,"[""On-chain adaptable oracles""]","[""Crypto-economic security""]","[""Crypto-economic liveness""]","[""Any data types""]",Decentralized,TRUE,Crypto-economic security mechanisms,"[""Python"", ""JavaScript""]","[""Audit by Runtime Verification""]","[""[Docs](https://docs.tellor.io)""]"
tellor-linea-sepolia,Tellor,sepolia,Permissionless Oracle,FALSE,"[""On-chain adaptable oracles""]","[""Crypto-economic security""]","[""Crypto-economic liveness""]","[""Any data types""]",Decentralized,TRUE,Crypto-economic security mechanisms,"[""Python"", ""JavaScript""]","[""Audit by Runtime Verification""]","[""[Docs](https://docs.tellor.io)""]"
pyth-linea,!provider:pyth,mainnet,,,,,,,,,,,,"[""[Docs](https://docs.pyth.network)""]"
pyth-linea-sepolia,!provider:pyth,sepolia,,,,,,,,,,,,"[""[Docs](https://docs.pyth.network)""]"
redstone-linea,!provider:redstone,mainnet,,,,,,,,,,,,"[""[Docs](https://docs.redstone.finance)""]"
supra-linea,!provider:supra,mainnet,,,,,,,,,,,,"[""[Docs](https://docs.supra.com/oracles)""]"
umbrella-linea,Umbrella Network,mainnet,Decentralized Oracle Service,FALSE,"[""Blockchain data feeds""]","[""Real-time feeds""]","[""Decentralized crowdsourced data""]","[""Various blockchain data""]",Decentralized,TRUE,Community-based decentralized oracle service,"[""JavaScript""]",,"[""[Docs](https://umbrella-network.github.io/technical-documentation/umbrella-network/docs/getting-started-1.html)""]"
eoracle-linea,eOracle,mainnet,Decentralized Oracle Network,FALSE,"[""Custom Data Feeds""]","[""Specialized data feeds""]","[""Secure, decentralized, scalable oracle services""]","[""Diverse data types""]",Decentralized,TRUE,Secured by large decentralized staker network,"[""JavaScript""]",,"[""[Docs](https://docs.eo.app/docs/)""]"
