slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
1rpc-op-mainnet-public-recent-state,!provider:1rpc-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
1rpc-op-mainnet-free-recent-state,!provider:1rpc-free-recent-state,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
1rpc-op-mainnet-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
1rpc-op-mainnet-enterprise-recent-state,!provider:1rpc-enterprise-recent-state,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-op-mainnet-free,!provider:alchemy-free-recent-state,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-op-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-op-mainnet-enterprise,!provider:alchemy-enterprise-recent-state,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
alchemy-op-sepolia-free,!provider:alchemy-free-recent-state,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
alchemy-op-sepolia-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
alchemy-op-sepolia-enterprise,!provider:alchemy-enterprise-recent-state,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
allthatnode-op-mainnet-free-archive,!provider:alchemy-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
allthatnode-op-mainnet-pay-as-you-go-archive,!provider:alchemy-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
allthatnode-op-mainnet-enterprise-archive,!provider:alchemy-enterprise-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
allthatnode-op-sepolia-free-archive,!provider:allthatnode-free-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
allthatnode-op-sepolia-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,
