slug,provider,actionButtons,tag,toolType,price,description,starred
blocknative,Blocknative,"[""[Website](https://blocknative.com/)"",""[Docs](https://docs.blocknative.com/ethernow/batch-decoder-api)""]","[""Batch Decoder"",""Mempool Analysis"",""OP Stack"",""Explorer""]",Tool,$0/Custom,"Decode and analyze OP Stack Batches submitted to Ethereum L1. Inspect, decode, and download batch data via public APIs or the Ethernow Explorer.",FALSE
tenderly,!provider:tenderly,,,,,,
unlock,Unlock Protocol,"[""[Website](https://unlock-protocol.com/)""]","[""Membership"",""NFT"",""Subscriptions"",""Smart Contracts""]",Tool,$0/Custom,"Open source smart contracts built for memberships and subscription NFTs including time-bound and recurring features, used for token gating and membership management.",FALSE
thirdweb,!provider:thirdweb,,,,,,
crossmint,Crossmint,"[""[Website](https://crossmint.com/)""]","[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",Tool,Custom,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users.",FALSE
alchemy,Alchemy,"[""[Docs](https://www.alchemy.com/docs/wallets/migration-guide)""]","[""Account Abstraction"",""Smart Wallets"",""Gas Sponsorship"",""Bundler"",""JavaScript SDK""]",SDK,$0/$5/$45/$215/$415/$815/$2K,"Complete Account Abstraction solution with smart contract wallets, Gas Manager, Bundler APIs for sponsoring gas and batching transactions. Supports ERC-4337, optimized for scale and developer ease.",FALSE
biconomy,!provider:biconomy,,,,,,
openfort,Openfort,"[""[Website](https://openfort.xyz/)""]","[""Wallet Infrastructure"",""Open-source"",""Onboarding"",""Cross-app Wallet""]",Tool,$0/$99/$249/$599,"Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem.",FALSE
pimlico,Pimlico,"[""[Website](https://www.pimlico.io/)""]","[""Smart Accounts"",""Bundlers"",""Paymasters"",""ERC-4337""]",Tool,$0/Custom,"Infrastructure platform for building smart accounts with bundlers, verifying paymasters, and ERC-20 paymasters for gas sponsorship and enhanced transaction flows.",FALSE
reown,Reown,"[""[Docs](https://docs.reown.com/overview)""]","[""Smart Wallets"",""Social Login"",""Paymasters"",""Gas Sponsorship""]",Tool,$0,"Tools to build user-friendly smart wallets with social login, paymaster configuration for gas fees sponsorship and chain abstraction for seamless UX.",FALSE
safe,Safe,"[""[Website](https://safe.global/)"",""[Docs](https://docs.safe.global/home/what-is-safe)""]","[""Modular Smart Accounts"",""Account Abstraction"",""SDK"",""API""]",Tool,$0,"Modular smart account infrastructure with a full account abstraction stack via Safe{Core} Account Abstraction SDK, API, and Protocol.",FALSE
ethersjs,!provider:ethersjs,,,,,,
foundry,!provider:foundry,,,,,,
hardhat,!provider:hardhat,,,,,,
openzeppelin,!provider:openzeppelin,,,,,,
remix,!provider:remix,,,,,,
truffle,!provider:truffle,,,,,,
walletconnect,!provider:walletconnect,,,,,,
web3auth,!provider:web3auth,,,,,,
