slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,starred
across-mainnet,!provider:across,"[""[Bridge](https://app.across.to/bridge-and-swap)"",""[Docs](https://docs.across.to/)""]",mainnet,Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]","[""hyperevm"",""arbitrum one"",""bnb chain"",""base"",""blast"",""ethereum"",""ink"",""lens"",""linea"",""lisk"",""mode"",""optimism"",""polygon"",""redstone"",""scroll"",""solana"",""soneium"",""unichain"",""world chain"",""zora"",""zksync era""]","[""Asset Transfer""]",,"[""Fast bridging"",""Single liquidity pool""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Secured via UMA oracle + relayers,,Decentralized,"[""SDK"",""Web UI""]",FALSE
allbridge-core-mainnet,!provider:allbridge-core,"[""[Bridge](https://core.allbridge.io/)"",""[Docs](https://docs-core.allbridge.io/)""]",mainnet,Stablecoin Bridge via Native Liquidity,NULL,NULL,TRUE,"[""Discord""]","[""arbitrum"",""avalanche"",""base"",""bnb chain"",""celo"",""ethereum"",""linea"",""optimism"",""polygon"",""sonic"",""solana"",""stellar"",""sui"",""tron"",""unichain""]","[""Stablecoin Transfer""]",,"[""No wrapping"",""Native liquidity pools"",""CEX-to-chain deposits""]","[""Stablecoins"",""ERC-20""]",Gas Fee + protocol fee,TRUE,"Native stablecoin pools, messaging-agnostic","[""Independent audits (per DefiLlama)""]",Decentralized,"[""TypeScript""]",FALSE
celer-cbridge,!provider:celer,"[""[Bridge](https://cbridge.celer.network)"",""[Docs](https://cbridge-docs.celer.network/)""]",mainnet,Lock & Mint + Message Passing,NULL,NULL,TRUE,"[""Contact us form""]","[""ethereum"",""polygon"",""bnb chain"",""avalanche"",""arbitrum"",""optimism"",""base"",""linea"",""astar"",""shiden"",""fantom"",""unichain"",""zksync era"",""arbitrum nova"",""aptos"",""flow evm"",""metis"",""oasis emerald"",""evmos"",""aurora"",""moonbeam"",""moonriver"",""boba"",""gnosis"",""aura mainnet"",""bitcoin"",""blast"",""conflux"",""filecoin"",""flow cadence"",""gravity alpha mainnet"",""injective"",""kava evm co-chain"",""klaytn"",""manta pacific mainnet"",""milkomeda c1"",""oasis sapphire"",""oasis hub-layer"",""platon"",""redbelly"",""sx"",""scroll"",""sui mainnet"",""x layer"",""opbnb""]","[""REST"",""SDK"",""WebSocket""]","[""Transaction Monitoring"",""[CelerScan](https://celerscan.com/)""]","[""Decentralized cross‑chain transfers""]","[""wFIL"",""wETH"",""wBTC"",""USDC"",""USDT""]",Gas Fee,TRUE,[Optimistic-rollup + two-phase commit confirm pattern for cross-chain messages](https://cbridge-docs.celer.network/introduction/cbridge-security),"[""January 2023, by CertiK"", ""January 2023, by PeckShield"", ""January 2023, by SlowMist""]",Decentralized,"[""Node.JS""]",FALSE
ecoportal-mainnet,!provider:ecoportal,"[""[Bridge](https://portal.eco.com/)"",""[Docs](https://eco.com/docs/getting-started/introduction/what-is-eco)""]",mainnet,Stablecoin Router,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum"",""base"",""celo"",""ink"",""optimism"",""plasma"",""polygon"",""sonic"",""unichain""]","[""Stablecoin Transfer"",""Bridge Routing""]",,"[""Route optimization"",""Low fees""]","[""USDC"",""USDT""]",Gas Fee + minimal service fee,TRUE,Security via route providers,,,"[""Web UI"",""SDK""]",FALSE
hop-mainnet,!provider:hop,"[""[Bridge](https://app.hop.exchange/)"",""[Docs](https://docs.hop.exchange/developer-docs/)""]",mainnet,Layer-2 Token Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum one"",""arbitrum nova"",""polygon pos"",""gnosis"",""polygon zkevm"",""base"",""linea"",""optimism""]","[""Token Transfer""]",,"[""h-token intermediaries"",""AMM bonds""]","[""ERC-20""]",Gas Fee + liquidity fee,TRUE,Liquidity provider bonds via AMM model,"[""Multiple audits""]",Decentralized,"[""TypeScript""]",FALSE
hyperlane-mainnet,!provider:hyperlane,"[""[Bridge](https://www.hyperlane.xyz/)"",""[Docs](https://docs.hyperlane.xyz/)""]",mainnet,Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]","[""abstract"",""ancient8"",""apechain"",""aleph zero"",""arbitrum"",""artela"",""arthera"",""avalanche"",""astar"",""astar zkevm"",""aurora"",""base"",""berachain"",""bitlayer"",""blast"",""bob"",""boba"",""bnb chain"",""birdlayer"",""bittensor"",""bnb chain"",""b3"",""camp"",""celo"",""cheesechain"",""chillz"",""citrea"",""coin98"",""conflux"",""coredao"",""corn"",""cyber"",""degen chain"",""dogechain"",""eclipse"",""endurance"",""ethereum"",""ebi"",""everclear"",""evmos"",""fantom"",""form"",""fraxtal"",""flame"",""flare"",""flow"",""forma"",""fuel"",""fuse"",""gnosis"",""gravity"",""hyperevm"",""harmony"",""hemi"",""henez"",""immutable"",""inevm"",""injective"",""ink"",""karak"",""kroma"",""kyros"",""linea"",""lisk"",""lumia"",""layeredge"",""logx"",""lukso"",""manta"",""manta pacific"",""mantle"",""matchain"",""metal"",""metis"",""merlin"",""mint"",""mode"",""miracleplay"",""mitosis"",""molten"",""moonbeam"",""morph"",""neutron"",""noble"",""nero"",""optimism"",""oort"",""orderly"",""osmosis"",""polygon"",""polygon cdk"",""polynomial"",""prom"",""proof of play"",""ronin"",""rari"",""re.al"",""redstone"",""rootstock"",""sei"",""solana"",""sanko"",""soneium"",""sonic"",""sonic svm"",""soon"",""sophon"",""starknet"",""stride"",""scroll"",""shibarium"",""snapchain"",""story"",""superposition"",""swell chain"",""superseed"",""trump chain"",""telos"",""treasure"",""taiko"",""tangle"",""unichain"",""viction"",""vana"",""x layer"",""xai"",""zero network"",""zircuit"",""zetachain"",""zklink"",""zora""]","[""Cross‑chain Messaging"",""Asset Transfer""]",,"[""Modular Interchain Security"",""Warp Routes (Bridging)""]","[""ERC‑20""]",Gas Fee,TRUE,Economic security via modular ISMs and validator staking,,Decentralized,"[""TypeScript CLI""]",FALSE
jumper-mainnet,!provider:jumper,"[""[Bridge](https://jumper.exchange/)"",""[Docs](https://jumper.exchange/learn)""]",mainnet,Cross‑chain Swaps,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum"",""solana"",""polygon"",""gnosis"",""blast"",""base"",""linea"",""optimism"",""avalanche"",""scroll"",""zksync"",""polygon zkevm"",""fantom"",""moonriver"",""moonbeam"",""fuse"",""boba"",""mode"",""metis"",""lisk"",""unichain"",""aurora"",""sei"",""hyperliquid"",""immutable zkevm"",""flare"",""sonic"",""vana"",""gravity"",""taiko"",""soneium"",""swellchain"",""bitcoin"",""ronin"",""opbnb"",""corn"",""lens"",""cronos"",""fraxtal"",""abstract"",""rootstock"",""apechain"",""celo"",""etherlink"",""world chain"",""xdc"",""mantle"",""sophon"",""superposition"",""ink"",""bob"",""katana"",""berachain"",""kaia"",""sui"",""plasma"",""plume"",""hyperevm""]","[""Asset Transfer"",""Swap""]",,"[""Simple swap + bridge""]","[""ETH"",""ERC‑20""]",Gas Fee + swap fee,TRUE,Security via smart contracts,,Decentralized,"[""Web UI"",""API""]",FALSE
layerswap-mainnet,!provider:layerswap,"[""[Bridge](https://layerswap.io/app)"",""[Docs](https://docs.layerswap.io/introduction)""]",mainnet,Cross‑chain Swaps,NULL,NULL,TRUE,"[""Discord""]","[""abstract"",""ancient8"",""arbitrum one"",""arbitrum nova"",""avalanche"",""base"",""berachain"",""bitcoin"",""blast"",""bob"",""bnb chain"",""celo"",""eclipse"",""ethereum"",""fuel ignition"",""fuse"",""gnosis"",""gravity"",""hyperevm"",""hashkey chain"",""immutablex"",""immutable zkevm"",""ink"",""kaia"",""katana"",""linea"",""lisk"",""lightlink"",""loopring"",""manta pacific"",""mantle"",""matchain"",""mint"",""mode"",""morph"",""nahmii"",""optimism"",""opbnb"",""polygon"",""polygon zkevm"",""plasma"",""paradex"",""ronin"",""rari"",""redstone"",""sei"",""solana"",""shape"",""soneium"",""sonic"",""soon"",""sophon"",""starknet"",""scroll"",""superposition"",""superseed"",""taiko"",""ton"",""unichain"",""world chain"",""xai"",""x layer"",""xai"",""zero"",""zircuit"",""zetachain"",""zksync lite"",""zksync era"",""zora""]","[""Asset Transfer""]",,"[""Exchange <> L2 bridging""]","[""ETH"",""ERC‑20""]",Gas Fee + small service fee,TRUE,Bridging secured through centralized custody & partners,,Partially Decentralized,"[""Web UI""]",FALSE
layerzero-mainnet,!provider:layerzero,"[""[Bridge](https://layerzero.bridge.harmony.one/one)"",""[Docs](https://docs.layerzero.network/v2)""]",mainnet,Omnichain Messaging & OFT,NULL,NULL,TRUE,"[""Discord"",""Email""]","[""ethereum"",""bnb chain"",""base"",""linea"",""arbitrum"",""harmony""]","[""REST API"",""GraphQL""]","[""Blockscout"",""Custom Dashboards""]","[""Omnichain Fungible Token"",""Unified Liquidity Pools"",""Cross‑chain Governance""]","[""ETH"",""ERC‑20 OFT""]",Gas Fee,TRUE,Configurable DVN consensus across chains,"[""Ackee Blockchain Protocol Audit (Mar 2022)"",""ChainSecurity OFT/OApp Audit"",""Zellic Core Audit""]",Decentralized,"[""TypeScript""]",FALSE
optimism-standart,Optimism,"[""[Bridge](https://app.optimism.io/bridge/deposit)"",""[Docs](https://docs.optimism.io/app-developers/guides/bridging/standard-bridge)""]",mainnet,Cross‑chain Messaging,"1-3 min (from ETH to OP Mainnet),7 days (OP Mainnet to ETH)",NULL,TRUE,"[""Discord"",""Email""]","[""Ethereum"",""Optimism"",""Base"",""Unichain"",""Ink"",""World Chain"",""Mode Mainnet"",""Zora"",""Redstone"",""Fraxtal"",""Lisk"",""Arena Z""]","[""Bridge API"",""GraphQL""]","[""Blockscout"",""Optimism Explorer""]","[""Native token bridge with 7-day withdrawal delay, security via Ethereum fraud proofs""]","[""ETH"",""ERC‑20""]",Gas Fee on L1,TRUE,7-day L2 to L1 withdrawal challenge period required,,Decentralized,"[""TypeScript""]",FALSE
