slug,provider,offer,actionButtons,chain,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
alchemy-sdk-free,,!offer:alchemy-sdk-free,,mainnet,,,,,,,,,,,,,,
alchemy-sdk-pay-as-you-go,,!offer:alchemy-sdk-pay-as-you-go,,mainnet,,,,,,,,,,,,,,
anyalt,,!offer:anyalt,,mainnet,,,,,,,,,,,,,,
avacloud-sdk,Ava Labs,SDK,"[""[Website](https://developers.avacloud.io/avalanche-sdk/overview)""]",mainnet,SDK,TypeScript,"[""Web3 development"",""Avalanche"",""AvaCloud API"",""SDK""]","It is a legacy TypeScript SDK for interacting with the AvaCloud API and enterprise services, which is currently migrating to ChainKit",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
avalanche-sdk-chainkit,,!offer:avalanche-sdk-chainkit,,mainnet,,,,,,,,,,,,,,
avalanche-sdk-client,,!offer:avalanche-sdk-client,,mainnet,,,,,,,,,,,,,,
avalanche-sdk-interchain,,!offer:avalanche-sdk-interchain,,mainnet,,,,,,,,,,,,,,
avalanche-tooling-sdk-go,Ava Labs,SDK,"[""[NPM](https://www.npmjs.com/package/@avalanche-sdk/chainkit)""]",mainnet,SDK,Go,"[""Golang SDK"",""Node provider"",""Subnet architecture""]","It is a Golang-based development kit utilized primarily for Avalanche node operations, network validators, and custom Subnet creation",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
avalanche-wallet-sdk,Ava Labs,SDK,"[""[NPM](https://www.npmjs.com/package/@avalanche-sdk/client)""]",mainnet,SDK,TypeScript,"[""Wallet SDK"",""Crypto wallet integration"",""Avalanche""]","It is a dedicated library for creating, managing, and authenticating decentralized non-custodial wallets specifically on the Avalanche network",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
avalanchejs,Ava Labs,SDK,"[""[YARM](https://classic.yarnpkg.com/en/package/@avalanche-sdk/interchain)""]",mainnet,SDK,TypeScript,"[""Web3 development"",""Blockchain framework"",""Avalanche""]","It is the classic Avalanche Platform JavaScript library for interfacing directly with the X-Chain, P-Chain, and C-Chain environments",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
blockdaemon-sdk-free,,!offer:blockdaemon-sdk-free,,mainnet,,,,,,,,,,,,,,
blockdaemon-sdk-growth,,!offer:blockdaemon-sdk-growth,,mainnet,,,,,,,,,,,,,,
blockdaemon-sdk-starter,,!offer:blockdaemon-sdk-starter,,mainnet,,,,,,,,,,,,,,
brownie,,!offer:brownie,,mainnet,,,,,,,,,,,,,,
chainbase-sdk-developer,,!offer:chainbase-sdk-developer,,mainnet,,,,,,,,,,,,,,
chainbase-sdk-free,,!offer:chainbase-sdk-free,,mainnet,,,,,,,,,,,,,,
connectkit,,!offer:connectkit,,mainnet,,,,,,,,,,,,,,
dappkit,,!offer:dappkit,,mainnet,,,,,,,,,,,,,,
dfns-sdk-basic,,!offer:dfns-sdk-basic,,mainnet,,,,,,,,,,,,,,
dfns-sdk-pro,,!offer:dfns-sdk-pro,,mainnet,,,,,,,,,,,,,,
dfns-sdk-starter,,!offer:dfns-sdk-starter,,mainnet,,,,,,,,,,,,,,
dynamic-sdk-free,,!offer:dynamic-sdk-free,,mainnet,,,,,,,,,,,,,,
dynamic-sdk-growth,,!offer:dynamic-sdk-growth,,mainnet,,,,,,,,,,,,,,
eth-tx,,!offer:eth-tx,,mainnet,,,,,,,,,,,,,,
ethers-js,,!offer:ethers-js,,mainnet,,,,,,,,,,,,,,
etherspot,,!offer:etherspot,,mainnet,,,,,,,,,,,,,,
foundry,,!offer:foundry,,mainnet,,,,,,,,,,,,,,
fuzzlib,,!offer:fuzzlib,,mainnet,,,,,,,,,,,,,,
halliday-sdk,,!offer:halliday-sdk,,mainnet,,,,,,,,,,,,,,
hardhat,,!offer:hardhat,,mainnet,,,,,,,,,,,,,,
huffmate,,!offer:huffmate,,mainnet,,,,,,,,,,,,,,
magic,,!offer:magic,,mainnet,,,,,,,,,,,,,,
open-zeppelin-test-helpers,,!offer:open-zeppelin-test-helpers,,mainnet,,,,,,,,,,,,,,
openfort-sdk-growth,,!offer:openfort-sdk-growth,,mainnet,,,,,,,,,,,,,,
openfort-sdk-pro,,!offer:openfort-sdk-pro,,mainnet,,,,,,,,,,,,,,
openfort-sdk-scale,,!offer:openfort-sdk-scale,,mainnet,,,,,,,,,,,,,,
openfort-sdk-starter,,!offer:openfort-sdk-starter,,mainnet,,,,,,,,,,,,,,
