slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
chainbase-mainnet-free-custom,!provider:chainbase-free-custom,"[""[Website](https://platform.chainbase.com/chainNetwork/BSC)"",""[Docs](https://docs.chainbase.com/catalog/BSC/Overview)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainbase-mainnet-developer-custom,!provider:chainbase-developer-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/catalog/BSC/Overview)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainbase-mainnet-enterprise-custom,!provider:chainbase-enterprise-custom,"[""[Contact](https://platform.chainbase.com/contact)"",""[Docs](https://docs.chainbase.com/catalog/BSC/Overview)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainbase-testnet-free-custom,!provider:chainbase-free-custom,"[""[Website](https://platform.chainbase.com/chainNetwork/BSC)"",""[Docs](https://docs.chainbase.com/catalog/OtherEvm/BNB_Smart_Chain_Testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainbase-testnet-developer-custom,!provider:chainbase-developer-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/catalog/OtherEvm/BNB_Smart_Chain_Testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainbase-testnet-enterprise-custom,!provider:chainbase-enterprise-custom,"[""[Contact](https://platform.chainbase.com/contact)"",""[Docs](https://docs.chainbase.com/catalog/OtherEvm/BNB_Smart_Chain_Testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-recent-state,!provider:quicknode-build-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-recent-state,!provider:quicknode-accelerate-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-recent-state,!provider:quicknode-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-recent-state,!provider:quicknode-business-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
