slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
daedalus,Daedalus Mainnet,"[""[Website](https://daedaluswallet.io/)"",""[Docs](https://iohk.zendesk.com/hc/en-us/categories/360000877653-Daedalus-Mainnet-Wallet)""]",TRUE,"[""Desktop""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""helpdesk""]","[""IOG Internal"",""Third Party""]","[""EN"",""JA""]",FALSE
yoroi,Yoroi,"[""[Website](https://yoroi-wallet.com/)"",""[GitHub](https://github.com/Emurgo/yoroi)""]",TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""helpdesk"",""email""]","[""Emurgo"",""Kudelski Security""]","[""EN"",""JA"",""KO"",""ZH"",""RU"",""DE"",""FR""]",FALSE
lace,Lace,"[""[Website](https://www.lace.io/)"",""[Docs](https://www.lace.io/faq)""]",FALSE,"[""Browser Extension""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens"",""NFTs""]",TRUE,$0,"[""helpdesk"",""discord""]","[""FYEO""]","[""EN""]",TRUE
nami,Nami,"[""[Website](https://namiwallet.io/)"",""[GitHub](https://github.com/berry-pool/nami)""]",TRUE,"[""Browser Extension""]",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens"",""NFTs""]",TRUE,$0,"[""twitter"",""email""]","[""IOG Internal""]","[""EN""]",FALSE
eternl,Eternl,"[""[Website](https://eternl.io/)"",""[Discord](https://discord.gg/eternlwallet)""]",FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""discord"",""twitter""]","[""Community Vetted""]","[""EN""]",TRUE
vespr,Vespr,"[""[Website](https://vespr.xyz/)"",""[Twitter](https://twitter.com/vesprwallet)""]",FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""discord"",""twitter""]",,"[""EN""]",FALSE
typhon,Typhon Wallet,"[""[Website](https://typhonwallet.io/)"",""[GitHub](https://github.com/Stakenet-operate/Typhon)"",""[Extension](https://chrome.google.com/webstore/detail/typhon-wallet/kfdniefadaanbjodldohaedphafoffoh)""]",TRUE,"[""Browser Extension""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""discord"",""github""]",,"[""EN""]",FALSE
gerowallet,GeroWallet,"[""[Website](https://gerowallet.io/)"",""[Docs](https://gerowallet.io/faq)""]",FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""ADA"",""Native Tokens""]",TRUE,$0,"[""discord"",""telegram""]","[""Hacken""]","[""EN""]",FALSE
flint,Flint Wallet,"[""[Website](https://flint-wallet.com/)"",""[Discord](https://discord.gg/dcspark)""]",FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""ADA"",""Native Tokens"",""Milkomeda""]",TRUE,$0,"[""discord"",""twitter""]",,"[""EN""]",FALSE
begin-wallet,Begin Wallet,"[""[Website](https://begin.is/)""]",FALSE,"[""iOS"",""Android"",""Browser Extension""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""Cardano Native Tokens""]",TRUE,$0,"[""email"",""x"",""telegram""]","[""not available""]","[""EN""]",FALSE
lace,Lace,"[""[Website](https://www.lace.io/)""]",FALSE,"[""Browser Extension""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Cardano Native Tokens""]",TRUE,$0,"[""helpdesk"",""discord""]","[""audit by FYEO""]","[""EN""]",FALSE
gamechanger,GameChanger,"[""[Website](https://gamechanger.finance/)""]",FALSE,"[""Web""]",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Cardano Native Tokens""]",TRUE,$0,"[""discord"",""x""]","[""Internal audits""]","[""EN""]",FALSE
adalite,AdaLite,"[""[Website](https://adalite.io/)""]",TRUE,"[""Web""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Cardano Native Tokens""]",TRUE,$0,"[""email""]","[""Audit by Vacuumlabs""]","[""EN""]",FALSE
exodus,!provider:exodus,,,,,,,,,,,,,,,,,,
guarda,!provider:guarda,,,,,,,,,,,,,,,,,,
atomic-wallet,!provider:atomic-wallet,,,,,,,,,,,,,,,,,,
trustwallet,!provider:trustwallet,,,,,,,,,,,,,,,,,,
safepal,!provider:safepal,,,,,,,,,,,,,,,,,,
tangem,!provider:tangem,,,,,,,,,,,,,,,,,,
ledger,!provider:ledger,,,,,,,,,,,,,,,,,,
trezor,!provider:trezor,,,,,,,,,,,,,,,,,,
coin-wallet,!provider:coin-wallet,,,,,,,,,,,,,,,,,,
math-wallet,!provider:math-wallet,,,,,,,,,,,,,,,,,,
