slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,tag
axelar,,!offer:axelar,,mainnet,,,,,,,,,,,,,,,,,,
chainlink-bridge-mainnet,,!offer:chainlink-bridge,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/fraxtal-mainnet)""]",mainnet,,,,,,,,,,,,,,,,,,
chainspot,,!offer:chainspot,,mainnet,,,,,,,,,,,,,,,,,,
crosscurve,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
jumper,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
orbiter,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
rubic,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
squid,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
stargate,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
