slug,provider,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
blocksec-phalcon,Blocksec Phalcon,"[""[Website](https://phalcon.xyz/)""]","[""Web3 security"",""Smart contract security"",""Blockchain security""]","It provides a suite of developer tools focused on real-time security monitoring, automated attack blocking, and deep transaction analysis for Web3 projects and decentralized finance protocols",Pay-as-you-go,,$1.2K-$7.1K,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
blowfish-enterprise,Blowfish,"[""[Website](blowfish.xyz)""]","[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,Enterprise,,Custom,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
blowfish-free,Blowfish,"[""[Website](blowfish.xyz)""]","[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,Free,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
cyvers,Cyvers,"[""[Website](https://cyvers.ai/)""]","[""Web3 Security"",""Blockchain Security"",""Real-Time Threat Detection"",""Machine Learning Security""]","It is a Web3 security company that provides developers with tools and an AI-powered platform for real-time threat detection, prevention, and compliance in blockchain ecosystems",Free,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
echidna,Echidna,"[""[Website](https://github.com/crytic/echidna)""]","[""Smart contract security"",""Fuzzing tool"",""Property-based testing"",""Ethereum developer tools"",""Solidity testing""]","It is an open-source property-based fuzzer for Ethereum smart contracts, developed by the security firm Trail of Bits",Free,,$0,FALSE,FALSE,smart contract security,CLI,,"[""smart contracts""]",
ercx-enteprise,ERCx,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]","[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]","It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",TBD,,$1K/mo,FALSE,FALSE,compliance checker,Web app,,"[""smart contracts"", ""token standards""]",
ercx-free,ERCx,"[""[Website](https://ercx.runtimeverification.com/)""]","[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]","It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",TBD,,$0,FALSE,FALSE,compliance checker,Web app,,"[""smart contracts"", ""token standards""]",
ercx-standard,ERCx,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]","[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]","It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",TBD,,$100/mo,FALSE,FALSE,compliance checker,Web app,,"[""smart contracts"", ""token standards""]",
failsafe,FailSafe,"[""[Website](https://getfailsafe.com/)""]","[""AI Security"",""Penetration Testing"",""Real-Time Threat Detection"",""Security Audits""]","It focused on security and compliance for the blockchain, Web3 and AI industries",Free,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
polyzoa,Polyzoa,"[""[Website](https://www.polyzoa.xyz/)""]","[""Anti-scam solutions"",""Threat Detection"",""Phishing Protection"",""Web3 Security""]",Developer tool provider in the Web3 space that offers an anti-scam security layer for blockchain infrastructure,TBD,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
safe,Safe,"[""[Website](https://safe.global/)"",""[Docs](https://docs.safe.global/home/what-is-safe)""]","[""Modular Smart Accounts"",""Account Abstraction"",""SDK"",""API""]","Modular smart account infrastructure with a full account abstraction stack via Safe{Core} Account Abstraction SDK, API, and Protocol",TBD,,Custom,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
ziion-linux-distro,Ziion Linux distro,"[""[Website](https://www.ziion.org/)""]","[""Security Testing"",""Vulnerability Assessment"",""Cybersecurity"",""Virtual Machine""]","Functions as a specialized, pre-configured provider of developer and security tools for the blockchain and Web3 ecosystem",TBD,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
