slug,provider,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType
transak,Transak,"[""[Website](https://transak.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay"",""pix""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""ISO27001"",""SOC2_TYPE_II""]",TBD
moonpay,MoonPay,"[""[Website](https://www.moonpay.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay"",""paypal""]","[""AF"",""CN"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""VE""]",false,"[""ISO27001"",""PCI_DSS"",""SOC2_TYPE_II""]",TBD
ramp-network,Ramp Network,"[""[Website](https://ramp.network/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""apple_pay"",""google_pay"",""revolut_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""YE""]",false,"[""ISO27001"",""SOC2_TYPE_II"",""PCI_DSS""]",TBD
onramper,Onramper,"[""[Website](https://onramper.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",true,"[""SOC2_TYPE_I""]",TBD
stripe-crypto,Stripe,"[""[Website](https://stripe.com/crypto)""]",full,"[""credit_card"",""debit_card"",""ach""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",false,"[""SOC2_TYPE_II"",""PCI_DSS""]",TBD
banxa,Banxa,"[""[Website](https://banxa.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""ISO27001"",""SOC2_TYPE_II""]",TBD
mercuryo,Mercuryo,"[""[Website](https://mercuryo.io/)""]",light,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""sepa""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",false,"[""PCI_DSS"",""ISO27001""]",TBD
sardine,Sardine,"[""[Website](https://www.sardine.ai/)""]",full,"[""ach"",""instant_ach"",""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""SOC2_TYPE_II""]",TBD
meld,Meld,"[""[Website](https://www.meld.io/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",true,"[""PCI_DSS"",""SOC2_TYPE_II""]",TBD
simplex,Simplex (Nuvei),"[""[Website](https://simplex.com/)""]",full,"[""credit_card"",""debit_card"",""apple_pay"",""sepa"",""swift""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",false,"[""PCI_DSS"",""ISO27001""]",TBD
