slug,provider,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,license,price,trial,starred,dependencies
0x-cert,0xCert,"[""[Website](https://github.com/0xcert/framework/)""]",Framework,JavaScript,"[""0xcert"",""Blockchain"",""dApp"",""Decentralized applications""]","Provides a comprehensive suite of tools for building decentralized applications that manage digital assets, specifically non-fungible tokens and fungible tokens, across multiple blockchains",Free,,TBD,$0,FALSE,FALSE,
alchemy-sdk-enterprise,Alchemy SDK,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Enterprise,,TBD,Custom,FALSE,FALSE,
alchemy-sdk-free,Alchemy SDK,"[""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Free,,TBD,$0,FALSE,FALSE,
alchemy-sdk-pay-as-you-go,Alchemy SDK,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Pay-as-you-go,,TBD,$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,FALSE,FALSE,
anyalt,AnyAlt,"[""[Website](https://www.anyalt.finance/)"",""[Docs](https://docs.anyalt.finance/sdk/overview)""]",SDK,TBD,"[""Cross-chain functionality"",""SDKs"",""APIs""]","Provides developers with an SDK and a pre-built widget to integrate cross-chain and last-mile transactions, including fiat-to-crypto on-ramps, into blockchain protocols and web3 projects",Free,,TBD,$0,FALSE,FALSE,
assembly-script,AssemblyScript,"[""[Website](https://www.assemblyscript.org/introduction.html)""]",SDK,TBD,"[""WebAssembly"",""TypeScript"",""JavaScript""]",It offers a compiler and toolchain allowing developers to write high-performance code in a TypeScript-like language and compile it to WebAssembly,Free,,TBD,$0,FALSE,FALSE,
aztec-sdk-free,Aztec,"[""[Docs](https://docs.aztec.network/developers/docs/aztec-js)""]",SDK,TBD,"[""Zero-Knowledge Proofs"",""Privacy-first /Confidential transactions"",""Ethereum Layer 2""]","It provides SDK, documentation, testnet access and especially Noir, a Rust-like programming language for writing zero-knowledge smart contracts",Free,,TBD,$0 ,FALSE,FALSE,
biconomy,Biconomy,"[""[Docs](https://docs.biconomy.io/)""]",SDK,TypeScript,"[""Gasless transactions"",""Relayer"",""AbstractJS SDK""]","Multichain relayer infrastructure offering gasless transactions, transaction batching and other features to simplify Web3 UX and onboarding",Enterprise,,TBD,Custom,FALSE,FALSE,
blockdaemon-sdk-enterprise,Blockdaemon Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]","It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",Enterprise,,TBD,Custom,FALSE,FALSE,
blockdaemon-sdk-free,Blockdaemon Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Docs](https://docs.blockdaemon.com/reference/staking-sdk)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]","It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",Free,,TBD,$0,FALSE,FALSE,
