slug,provider,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons,supportedChains,txSpeedSla,throughputSla
across,Across,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Fast bridging"",""Single liquidity pool""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Secured via UMA oracle + relayers,[],Decentralized,"[""SDK"",""Web UI""]",[],"[""Aleph Zero"",""Arbitrum One"",""BNB Smart Chain"",""Base"",""Blast"",""Ethereum Mainnet"",""Ink"",""Lens"",""Linea"",""Lisk"",""Mode"",""Optimism"",""Polygon Network"",""Redstone"",""Scroll"",""Solana"",""Soneium"",""Unichain"",""World Chain"",""Zora"",""ZkSync Era""]",NULL,NULL
allbridge-core,Allbridge Core,Stablecoin Bridge via Native Liquidity,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Transfer""]",,"[""No wrapping"",""Native liquidity pools"",""CEX-to-chain deposits""]","[""Stablecoins"",""ERC-20""]",Gas Fee + protocol fee,TRUE,"Native stablecoin pools, messaging-agnostic","[""Independent audits (per DefiLlama)""]",Decentralized,"[""TypeScript""]",[],,NULL,NULL
alldomains-bridge,AllDomains Bridge,Domain & Data Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset & Data Transfer""]",,"[""Bridge Web2 domains to Web3 asset portrait"",""Hyperlink via Hyperlane provider""]",[],Gas Fee,TRUE,Hyperlane‑powered bridge for domain/data between chains,[],Decentralized,"[""TypeScript""]",[],,NULL,NULL
altitude,Altitude,LayerZero-based Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Built on LayerZero"",""Decentralized routing""]","[""ETH"",""USDC""]",Gas Fee,TRUE,Security via LayerZero DVN & oracle messaging,[],Decentralized,"[""Web UI""]",[],"[""Ethereum"",""AVAX"",""BNB"",""Polygon"",""Fantom"",""Arbitrum"",""Optimism"",""Linea"",""Mantle""]",NULL,NULL
arbitrum-native,Arbitrum,Native,TRUE,"[""[Discord](https://discord.gg/arbitrum)"",""[Help Center](https://support.arbitrum.io/hc/en-us)""]",FALSE,"[""Bridge API""]","[""Bridge Transactions"",""Status Monitoring""]","[""Official Arbitrum Bridge"",""Token Tracking"",""USDC Support"",""Cross-chain Governance""]","[""ETH"",""ERC-20"",""USDC""]",Gas Fee,TRUE,Native canonical bridge maintained by Arbitrum,"[""Trail of Bits Nitro Audit"",""OpenZeppelin Bridge & Core Contracts Audit""]",Partially Decentralized,"[""TypeScript""]",[],"[""ethereum mainnet"", ""arbitrum one"", ""arbitrum nova"", ""arbitrum orbit chains""]",NULL,NULL
asterizm,Asterizm,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging""]",[],"[""Composable messaging"",""Intent‑based""]","[""ETH"",""USDC""]",Gas Fee + relayer fee,TRUE,Secured by validators and messaging relayers,[],Decentralized,"[""Web UI""]",[],[],NULL,NULL
celer,Celer,Omnichain Messaging & OFT,TRUE,"[""Contact us form""]",FALSE,"[""Bridge API""]","[""Transaction Monitoring""]","[""StableSwap AMM curve"",""Fast bridging""]","[""ERC-20""]",Gas Fee,TRUE,Decentralized network with economic security,"[""January 2023, by CertiK"", ""January 2023, by PeckShield"", ""January 2023, by SlowMist""]",Decentralized,"[""Node.JS""]",[],"[""Ethereum"",""Polygon"",""BNB Chain"",""Avalanche"",""Arbitrum"",""Optimism"",""Base"",""Linea"",""Astar"",""Shiden""]",NULL,NULL
chainlink-bridge,Chainlink Bridge,Oracle‑Powered Asset & Messaging Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging"",""Token Transfer""]",,"[""Based on Chainlink CCIP"",""Enterprise‑grade relayer architecture""]","[""ERC‑20"",""Stablecoins"",""NFT""]",Gas Fee + relayer fee,TRUE,Security by Chainlink decentralized oracle network,"[""Multiple audits""]",Decentralized,"[""TypeScript""]",[],,NULL,NULL
chainport,ChainPort,Cross‑chain Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Fast transfer"",""Low fee (0.3%)""]","[""ETH"",""ERC‑20""]",Gas Fee + 0.3% fee,TRUE,Smart contract custody with optional insurance,[],Semi-centralized,"[""Web UI""]",[],[],NULL,NULL
chainspot,Chainspot,Bridge Aggregator,TRUE,"[""Discord""]",FALSE,"[""Bridge Aggregation""]",[],"[""Multi‑bridge routing"",""Cross‑chain explorer""]","[""ETH"",""ERC‑20""]",Depends on selected route,TRUE,Inherits security from underlying bridges,[],Aggregator,"[""Web UI""]",[],[],NULL,NULL
