slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
ankr-coston-free,!provider:ankr-free-recent-state,,,,,,,Coston,,,,,,,,,,,,,,,,,,
ankr-coston2-free,!provider:ankr-free-recent-state,,,,,,,Coston2,,,,,,,,,,,,,,,,,,
ankr-mainnet-enterprise,!provider:ankr-enterprise-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-free,!provider:ankr-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go,!provider:ankr-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
dipdup-mainnet-enterprise-indexer,!provider:dipdup-enterprise-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/flare)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dipdup-mainnet-free-indexer,!provider:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/flare)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
envio-mainnet-dedicated-indexer,!provider:envio-dedicated-indexer,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
envio-mainnet-free-indexer,!provider:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go-indexer,!provider:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
envio-songbird-dedicated-indexer,!provider:envio-dedicated-indexer,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",,,,,,Songbird,,,,,,,,,,,,,,,,,,
envio-songbird-free-indexer,!provider:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",,,,,,Songbird,,,,,,,,,,,,,,,,,,
envio-songbird-pay-as-you-go-indexer,!provider:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",,,,,,Songbird,,,,,,,,,,,,,,,,,,
flare-coston-public,Flare,"[""[Docs](https://dev.flare.network/network/overview)""]",,Free,Pruned,RPC,EVM JSON-RPC,Coston,$0,$0,null,null,null,null,null,null,,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,
flare-coston2-public,Flare,"[""[Docs](https://dev.flare.network/network/overview)""]",,Free,Pruned,RPC,EVM JSON-RPC,Coston2,$0,$0,null,null,null,null,null,null,,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,
flare-mainnet-public,Flare,"[""[Docs](https://dev.flare.network/network/overview)""]",,Free,Pruned,RPC,EVM JSON-RPC,mainnet,$0,$0,null,null,null,null,null,null,,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,
flare-songbird-public,Flare,"[""[Docs](https://dev.flare.network/network/overview)""]",,Free,Pruned,RPC,EVM JSON-RPC,Songbird,$0,$0,null,null,null,null,null,null,,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
