slug,provider,offer,actionButtons,chain,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,mainnet,,,,,,,
alixpay,,!offer:alixpay,,mainnet,,,,,,,
alltrust-me,,!offer:alltrust-me,,mainnet,,,,,,,
banxa,,!offer:banxa,,mainnet,,,,,,,
belo,,!offer:belo,,mainnet,,,,,,,
bleap,,!offer:bleap,,mainnet,,,,,,,
breet,,!offer:breet,,mainnet,,,,,,,
bridge,,!offer:bridge,,mainnet,,,,,,,
btcdirect,,!offer:btcdirect,,mainnet,,,,,,,
bvnk,,!offer:bvnk,,mainnet,,,,,,,
coinbase-onramp,,!offer:coinbase-onramp,,mainnet,,,,,,,
coinflow,,!offer:coinflow,,mainnet,,,,,,,
finchpay,,!offer:finchpay,,mainnet,,,,,,,
fonbnk,,!offer:fonbnk,,mainnet,,,,,,,
guardarian,,!offer:guardarian,,mainnet,,,,,,,
itez,,!offer:itez,,mainnet,,,,,,,
madhouse-wallet,,!offer:madhouse-wallet,,mainnet,,,,,,,
meld,,!offer:meld,,mainnet,,,,,,,
mercuryo,,!offer:mercuryo,,mainnet,,,,,,,
meso,,!offer:meso,,mainnet,,,,,,,
minisend,,!offer:minisend,,mainnet,,,,,,,
monerium,,!offer:monerium,,mainnet,,,,,,,
moonpay,,!offer:moonpay,,mainnet,,,,,,,
onmeta,,!offer:onmeta,,mainnet,,,,,,,
onramp-money,,!offer:onramp-money,,mainnet,,,,,,,
onramper,,!offer:onramper,,mainnet,,,,,,,
paybis,,!offer:paybis,,mainnet,,,,,,,
ramp-network,,!offer:ramp-network,,mainnet,,,,,,,
rampnow,,!offer:rampnow,,mainnet,,,,,,,
sardine,,!offer:sardine,,mainnet,,,,,,,
simplex,,!offer:simplex,,mainnet,,,,,,,
straits-x,,!offer:straits-x,,mainnet,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,mainnet,,,,,,,
swapped,,!offer:swapped,,mainnet,,,,,,,
swipelux,,!offer:swipelux,,mainnet,,,,,,,
switchere,,!offer:switchere,,mainnet,,,,,,,
topper,,!offer:topper,,mainnet,,,,,,,
trans-fi,,!offer:trans-fi,,mainnet,,,,,,,
transak,,!offer:transak,,mainnet,,,,,,,
unigox,,!offer:unigox,,mainnet,,,,,,,
uniramp,,!offer:uniramp,,mainnet,,,,,,,
utorg,,!offer:utorg,,mainnet,,,,,,,
wert,,!offer:wert,,mainnet,,,,,,,
