slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
zcashd,Electric Coin Co.,"[""[Website](https://z.cash/download/)""]",Node,"[""Core Node"",""Privacy"",""Protocol""]",$0,Free,,"The original full node implementation for the Zcash protocol, maintaining the entire blockchain state.",TRUE
zebrad,Zcash Foundation,"[""[Website](https://github.com/ZcashFoundation/zebra)""]",Node,"[""Rust"",""Consensus"",""Node""]",$0,Free,,"An independent, consensus-compatible Zcash node implementation written in Rust for better performance and security.",FALSE
lightwalletd,Electric Coin Co.,"[""[Repo](https://github.com/zcash/lightwalletd)""]",Infrastructure,"[""Middleware"",""Mobile Support"",""Light Client""]",$0,Free,,A backend service that provides a bandwidth-efficient interface to the Zcash blockchain for light clients (mobile wallets).,TRUE
nownodes,NOWNodes,"[""[Website](https://nownodes.io/zcash-zec)""]",Infrastructure,"[""RPC Node"",""API"",""Developer Tool""]",Freemium,Tiered,,"Provides instant access to Zcash nodes via API, allowing developers to build without maintaining their own infrastructure.",FALSE
getblock,GetBlock,"[""[Website](https://getblock.io/nodes/zec/)""]",Infrastructure,"[""RPC Node"",""API""]",Freemium,Tiered,, Blockchain-as-a-Service provider offering API connection to Zcash full nodes.,FALSE
flypool,Ethermine,"[""[Website](https://zcash.flypool.org/)""]",Mining Pool,"[""PoW"",""Equihash"",""Mining""]",1% Fee,Commission,,One of the largest and most reliable anonymous Zcash mining pools.,TRUE
2miners,2Miners,"[""[Website](https://2miners.com/zec-mining-pool)""]",Mining Pool,"[""PoW"",""Mining"",""Payouts""]",1% Fee,Commission,,User-friendly Zcash mining pool with regular payouts and robust monitoring tools.,FALSE
flexa-spedn,Flexa,"[""[Website](https://flexa.network/)""]",Payment Gateway,"[""Merchant"",""Real-world"",""Payments""]",Custom,Enterprise,,"Digital payment network enabling instant, fraud-proof Zcash payments at major retailers.",TRUE
coingate,CoinGate,"[""[Website](https://coingate.com/)""]",Payment Gateway,"[""Merchant"",""Invoicing"",""Processing""]",1% Fee,Commission,,Payment processor allowing businesses to accept Zcash and settle in fiat currency.,FALSE
nowpayments,NowPayments,"[""[Website](https://nowpayments.io/supported-coins/zcash-payments)""]",Payment Gateway,"[""API"",""Non-custodial"",""Payments""]",0.5% Fee,Commission,,Non-custodial crypto payment gateway that supports Zcash for e-commerce and donations.,FALSE
bitgo,BitGo,"[""[Website](https://www.bitgo.com/)""]",Custody,"[""Institutional"",""Security"",""WBTC/WZEC""]",Custom,Enterprise,,Institutional-grade custody solution and the prime custodian for Wrapped ZEC (WZEC).,TRUE
thorswap,THORChain,"[""[Website](https://app.thorswap.finance/)""]",DEX / Bridge,"[""Cross-chain"",""Native Swap"",""DeFi""]",Gas + Fee,Transaction,,"Decentralized exchange allowing native cross-chain swaps (e.g., BTC to ZEC) without wrapping.",TRUE
sideshift-ai,SideShift.ai,"[""[Website](https://sideshift.ai/)""]",Swap,"[""No-KYC"",""Instant"",""Exchange""]",Variable Spread,Transaction,,Automated coin swap service allowing quick conversion between Zcash and other assets.,FALSE
houdini-swap,Houdini Swap,"[""[Website](https://houdiniswap.com/)""]",Swap,"[""Privacy"",""Anonymity"",""Bridge""]",Variable Fee,Transaction,,Privacy-focused aggregator that can anonymize transactions using Monero or other routes.,FALSE
