slug,provider,offer,actionButtons,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
99faucet-faucet,99faucet,,"[""[Faucet](https://99faucet.com/faucet/eth)""]",TRUE,TRUE,,$0,FALSE,"[""Requires FaucetPay account to claim""]",,
alchemy-faucet,Alchemy,,"[""[Faucet](https://www.alchemy.com/faucets)""]",FALSE,TRUE,0.001 ETH,$0,FALSE,"[""Requires mainnet activity"",""Requires to have a low enough existing balance since wallets with a significant amount of testnet tokens are not eligible for additional claims""]",0.1 ETH,24h,
astar-faucet,Astar,,,TRUE,TRUE,,$0,FALSE,,,,
automata-faucet,Automata,,,TRUE,FALSE,,$0,FALSE,,,,
bagi-faucet,Bagi.co.in,,"[""[Faucet](https://bagi.co.in)""]",TRUE,TRUE,,$0,FALSE,"[""Requires FaucetPay account to claim""]",,
bitfaucet,BITFaucet,,"[""[Faucet](https://bitfaucet.cryptojobss.com)""]",TRUE,TRUE,,$0,FALSE,"[""Requires FaucetPay account with Gmail"",""No VPN bots or scripts allowed""]",,60sec,
chainlink-faucet,Chainlink,,"[""[Faucet](https://faucets.chain.link/)""]",TRUE,FALSE,1 LINK,$0,FALSE,"[""One request for native tokens at time""]",0.5 ETH,2h,
chainlink-faucet-link,Chainlink,,"[""[Faucet](https://faucets.chain.link/)""]",TRUE,FALSE,,$0,FALSE,"[""Provides LINK""]",25 LINK,2h,
chainstack-faucet,Chainstack,,"[""[Faucet](https://faucet.chainstack.com/)""]",TRUE,FALSE,0.08 ETH,$0,FALSE,"[""Requires Chaistack API key""]",0.08 ETH,24h,
circle-faucet-eurc,Circle,,"[""[Faucet](https://faucet.circle.com/)""]",FALSE,FALSE,,$0,FALSE,,10 EURC,1h,
circle-faucet-usdc,Circle,,"[""[Faucet](https://faucet.circle.com/)""]",FALSE,FALSE,,$0,FALSE,,10 USDC,1h,
earn-coins-faucet,Earn-Coins.com,,"[""[Faucet](https://earn-coins.com)""]",TRUE,FALSE,,$0,FALSE,"[""Requires FaucetPay account to claim""]",,
ethglobal-faucet,EthGlobal,,"[""[Faucet](https://ethglobal.com/faucet)""]",TRUE,FALSE,,$69/$99/$129,FALSE,"[""Available only on paid plans""]",0.05 ETH,24h,
final-autoclaim-faucet,Final Autoclaim,,"[""[Faucet](https://autofaucet.dutchycorp.space)""]",TRUE,FALSE,,$0,FALSE,"[""Supports 81 cryptocurrencies including ETH"",""Requires Dutchy fuel for auto-claim""]",,
freecoinpay-faucet,FreeCoinPay,,"[""[Faucet](https://freecoinpay.io)""]",FALSE,TRUE,,$0,FALSE,"[""Requires FaucetPay account to claim""]",0.00000007 ETH,10min,
getblock-faucet,GetBlock,,"[""[Faucet](https://getblock.io/faucet/)""]",TRUE,FALSE,0.005 ETH,$0,FALSE,,0.005 ETH,,
ghost-faucet,GHOST,,"[""[Faucet](https://ghostchain.io/faucet/)""]",FALSE,FALSE,,$0,FALSE,,,,
google-cloud-faucet,Google Cloud,,,FALSE,TRUE,,$0,FALSE,,0.001 ETH,,
infura-faucet,Infura,,,TRUE,FALSE,,$0,FALSE,,,,
keran-faucet,Keran.Co,,"[""[Faucet](https://keran.co/LTC/)""]",TRUE,TRUE,,$0,FALSE,"[""Requires FaucetPay account to claim""]",,
learnweb3-faucet,LearnWeb3,,"[""[Faucet](https://learnweb3.io/faucets/)""]",TRUE,FALSE,,$0,FALSE,"[""Github authentication required""]",0.01 ETH,24h,
naticrypto-faucet,Naticrypto,,"[""[Faucet](https://naticrypto.com/tron/)""]",TRUE,TRUE,,$0,FALSE,"[""Requires FaucetPay account to claim"",""VPN not allowed""]",,
nebulum-faucet,Nebulum,,,FALSE,TRUE,,$0,FALSE,,,,
pk910-faucet,PK910 PoW Faucet,,,FALSE,FALSE,,$0,FALSE,,,,
plume-faucet,Plume,,"[""[Faucet](https://faucet.plume.org)""]",FALSE,TRUE,,$0,FALSE,"[""Requires Cloudflare verification challenge before claim""]",,,
quicknode-faucet,QuickNode,,"[""[Faucet](https://faucet.quicknode.com/drip)""]",TRUE,FALSE,0.001 ETH,$0,FALSE,"[""Requires transaction history""]",,12h,
rockx-faucet,RockX,,,TRUE,FALSE,,$0,FALSE,,,,
ronin-faucet,Ronin,Ronin Faucet,"[""[Faucet](https://faucet.roninchain.com)"",""[Docs](https://docs.roninchain.com/developers/tools/faucet)""]",FALSE,FALSE,,$0,FALSE,"[""Daily limit: up to 5 requests""]",,24h,
satoshi-faucet,Satoshi Faucet,,"[""[Faucet](https://satoshifaucet.io/)""]",TRUE,FALSE,,$0,FALSE,"[""Requires FaucetPay account to claim""]",,
stakely-faucet,Stakely,,"[""[Faucet](https://stakely.io/faucet)""]",FALSE,TRUE,,$0,FALSE,"[""Requires to make the tweet in X about requesting tokens"",""Need to have low or zero mainnet balance for asking mainnet tokens""]",,,
starlavinia-faucet,Star Lavinia,,"[""[Faucet](https://starlavinia.com)""]",TRUE,FALSE,,$0,FALSE,,,
tatum-faucet,Tatum,,,TRUE,FALSE,0.001 ETH,$0,FALSE,,0.002 ETH,,
thirdweb-faucet,Thirdweb,,"[""[Faucet](https://thirdweb.com/faucets)""]",TRUE,TRUE,,$5/month,FALSE,"[""Available only on paid plans""]",0.05 ETH,24h,
