slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
blocksec-phalcon,Blocksec Phalcon,,"[""[Website](https://phalcon.xyz/)""]","[""Web3 security"",""Smart contract security"",""Blockchain security""]","It provides a suite of developer tools focused on real-time security monitoring, automated attack blocking, and deep transaction analysis for Web3 projects and decentralized finance protocols",Pay-as-you-go,,$1.2K-$7.1K,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
blowfish-enterprise,Blowfish,,"[""[Website](https://blowfish.xyz/)""]","[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,Enterprise,,Custom,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
blowfish-free,Blowfish,,"[""[Website](https://blowfish.xyz/)""]","[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,Free,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
consensys-diligence-builder,ConsenSys,,"[""[Website](https://diligence.security/)""]","[""Smart Contract Audits"",""Automated Security Analysis"",""Smart Contract Testing"",""Automatic Property Checking"",""Threat Modeling""]",It is comprehensive smart contract audit service that helps everyone from startups to enterprises launch and maintain their Ethereum blockchain applications,Tiered,Builder,under $50/mo,FALSE,FALSE,Audits,Web app,EVM,"[""smart contracts""]",
consensys-diligence-explorer,ConsenSys,,"[""[Website](https://diligence.security/)""]","[""Smart Contract Audits"",""Automated Security Analysis"",""Smart Contract Testing"",""Automatic Property Checking"",""Threat Modeling""]",It is comprehensive smart contract audit service that helps everyone from startups to enterprises launch and maintain their Ethereum blockchain applications,Free,Explorer,$0,FALSE,FALSE,Audits,Web app,EVM,"[""smart contracts""]",
consensys-diligence-pro-builder,ConsenSys,,"[""[Website](https://diligence.security/)""]","[""Smart Contract Audits"",""Automated Security Analysis"",""Smart Contract Testing"",""Automatic Property Checking"",""Threat Modeling""]",It is comprehensive smart contract audit service that helps everyone from startups to enterprises launch and maintain their Ethereum blockchain applications,Enterprise,Pro Builder,Custom,FALSE,FALSE,Audits,Web app,EVM,"[""smart contracts""]",
cyvers,Cyvers,,"[""[Website](https://cyvers.ai/)""]","[""Web3 Security"",""Blockchain Security"",""Real-Time Threat Detection"",""Machine Learning Security""]","It is a Web3 security company that provides developers with tools and an AI-powered platform for real-time threat detection, prevention, and compliance in blockchain ecosystems",Free,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
echidna,Echidna,,"[""[Website](https://github.com/crytic/echidna)""]","[""Smart contract security"",""Fuzzing tool"",""Property-based testing"",""Ethereum developer tools"",""Solidity testing""]","It is an open-source property-based fuzzer for Ethereum smart contracts, developed by the security firm Trail of Bits",Free,,$0,FALSE,FALSE,smart contract security,CLI,,"[""smart contracts""]",
ercx-enteprise,ERCx,,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]","[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]","It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",TBD,,$1K/mo,FALSE,FALSE,compliance checker,Web app,,"[""smart contracts"",""token standards""]",
ercx-free,ERCx,,"[""[Website](https://ercx.runtimeverification.com/)""]","[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]","It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",TBD,,$0,FALSE,FALSE,compliance checker,Web app,,"[""smart contracts"",""token standards""]",
