slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Docs](https://docs.api3.org/)""]",mainnet,,,,,,,,,,,,
api3-testnet,,!offer:api3,"[""[Docs](https://docs.api3.org/)""]",testnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,"[""[ETH/USD](https://data.chain.link/feeds/base/base/eth-usd)"", ""[Docs](https://docs.chain.link/)""]",mainnet,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/)""]",testnet,,,,,,,,,,,,
chronicle-mainnet,,!offer:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#blockchain=BASE)""]",mainnet,,,,,,,,,,,,
chronicle-testnet,,!offer:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#testnet=true&blockchain=BASESEP)""]",testnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/home)""]",mainnet,,,,,,,,,,,,
dia-testnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/home)""]",testnet,,,,,,,,,,,,
gelato-mainnet,,!offer:gelato,"[""[Docs](https://docs.gelato.cloud/)""]",mainnet,,,,,,,,,,,,
gelato-testnet,,!offer:gelato,"[""[Docs](https://docs.gelato.cloud/)""]",testnet,,,,,,,,,,,,
ora-mainnet,,!offer:ora,"[""[Docs](https://docs.ora.io/doc/onchain-ai-oracle-oao/onchain-ai-oracle)""]",mainnet,,,,,,,,,,,,
orochi-mainnet,,!offer:orochi,"[""[Docs](https://docs.orochi.network/)""]",mainnet,,,,,,,,,,,,
orochi-testnet,,!offer:orochi,"[""[Docs](https://docs.orochi.network/)""]",testnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.base.org/base-chain/tools/oracles#pyth)""]",mainnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,"[""[Docs](https://docs.base.org/base-chain/tools/oracles#pyth)""]",testnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Docs](https://docs.redstone.finance/)""]",mainnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Docs](https://docs.supra.com/)""]",mainnet,,,,,,,,,,,,
supra-testnet,,!offer:supra,"[""[Docs](https://docs.supra.com/)""]",testnet,,,,,,,,,,,,
