slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred,tag
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://explorer.optimism.io/)""]",mainnet,,,,,,,,,,,
blockscout-sepolia,,!offer:blockscout,"[""[Explore](https://testnet-explorer.optimism.io/)""]",sepolia,,,,,,,,,,,
etherscan-mainnet,,!offer:etherscan,"[""[Explore](https://explorer.optimism.io/)""]",mainnet,,,,,,,,,,,
etherscan-sepolia,,!offer:etherscan,"[""[Explore](https://testnet-explorer.optimism.io/)""]",sepolia,,,,,,,,,,,
nansen-free-mainnet,Nansen,!offer:nansen-free,"[""[Explore](https://www.nansen.ai/)""]",mainnet,,,,,,,,,,,
nansen-free-testnet,Nansen,!offer:nansen-free,"[""[Explore](https://www.nansen.ai/)""]",testnet,,,,,,,,,,,
nansen-pro-mainnet,Nansen,!offer:nansen-pro,"[""[Explore](https://www.nansen.ai/)""]",mainnet,,,,,,,,,,,
nansen-pro-testnet,Nansen,!offer:nansen-pro,"[""[Explore](https://www.nansen.ai/)""]",testnet,,,,,,,,,,,
superchain-mainnet,Routescan,,"[""[Explore](https://thesuperscan.io/)""]",mainnet,Custom,"[""Addresses"",""Transactions"",""Blocks"",""Deployed contracts""]","[""Unified Ecosystem Pages""]","[""REST""]",,"[""Address"",""Transaction"",""Block"",""Hash""]",TRUE,TRUE,Free,FALSE,
superchain-testnet,Routescan,,"[""[Explore](https://testnet.thesuperscan.io/)""]",testnet,Custom,"[""Addresses"",""Transactions"",""Blocks"",""Deployed contracts""]","[""Unified Ecosystem Pages""]","[""REST""]",,"[""Address"",""Transaction"",""Block"",""Hash""]",TRUE,TRUE,Free,FALSE,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,"[""[Explore](https://docs.tenderly.co/developer-explorer?mtm_campaign=ext-docs&mtm_kwd=optimism)""]",mainnet,,,,,,,,,,,
tenderly-explorer-sepolia,,!offer:tenderly-explorer,"[""[Explore](https://docs.tenderly.co/developer-explorer?mtm_campaign=ext-docs&mtm_kwd=optimism)""]",sepolia,,,,,,,,,,,
