slug,provider,offer,actionButtons,chain,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
binance-wallet,,!offer:binance-wallet,,mainnet,,,,,,,,,,,,,,,,,,
bybit-wallet,,!offer:bybit-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,mainnet,,,,,,,,,,,,,,,,,,
cypherock-x1,,!offer:cypherock-x1,,mainnet,,,,,,,,,,,,,,,,,,
exodus,,!offer:exodus,,mainnet,,,,,,,,,,,,,,,,,,
foxwallet,,!offer:foxwallet,,mainnet,,,,,,,,,,,,,,,,,,
gate,,!offer:gate,,mainnet,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,mainnet,,,,,,,,,,,,,,,,,,
guarda,,!offer:guarda,,mainnet,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,mainnet,,,,,,,,,,,,,,,,,,
math-wallet,,!offer:math-wallet,,mainnet,,,,,,,,,,,,,,,,,,
mytonwallet,MyTonWallet,,"[""[Website](https://mytonwallet.io/)""]",mainnet,TRUE,"[""Browser Extension"",""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",TRUE,$0,"[""telegram"",""email""]",,"[""EN"",""RU"",""ZH"",""ES"",""ID""]",FALSE,
okxwallet,,!offer:okxwallet,,mainnet,,,,,,,,,,,,,,,,,,
onekey,,!offer:onekey,,mainnet,,,,,,,,,,,,,,,,,,
openmask,OpenMask,,"[""[Website](https://www.openmask.app/)""]",mainnet,FALSE,"[""Browser Extension""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",FALSE,$0,"[""telegram"",""email""]",,"[""EN""]",FALSE,
safepal,,!offer:safepal,,mainnet,,,,,,,,,,,,,,,,,,
tangem,,!offer:tangem,,mainnet,,,,,,,,,,,,,,,,,,
tokenpocket,,!offer:tokenpocket,,mainnet,,,,,,,,,,,,,,,,,,
tonhub,Tonhub,,"[""[Website](https://tonhub.com/)""]",mainnet,TRUE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",TRUE,$0,"[""telegram"",""email""]",,"[""EN"",""RU""]",FALSE,
tonkeeper,Tonkeeper,,"[""[Website](https://tonkeeper.com/)"",""[Telegram](https://t.me/tonkeeper)""]",mainnet,TRUE,"[""iOS"",""Android"",""Browser Extension"",""Desktop""]",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT"",""TEP-74"",""TEP-62""]",TRUE,$0,"[""telegram"",""email""]","[""Certik""]","[""EN"",""RU"",""ZH"",""ES"",""ID"",""UK""]",TRUE,
trustwallet,,!offer:trustwallet,,mainnet,,,,,,,,,,,,,,,,,,
wallet-telegram,Wallet (Telegram),,"[""[Website](https://wallet.tg/)""]",mainnet,FALSE,"[""iOS"",""Android"",""Desktop""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT"",""USDT-TON""]",FALSE,$0,"[""telegram"",""chatbot""]",,"[""EN"",""RU"",""UA"",""Multilingual""]",FALSE,
